#OTU ID	GW1941	GW1942	GW1944	GW1945	GW1946	GW1947	GW1948	GW1952	GW1953	GW1954	GW1955	GW1957	GW1958	GW1959	GW1964	GW1967	GW1968	GW1969	GW1973	GW1979	GW1982
OTU_1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1143	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0
OTU_1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	4	0	0	0
OTU_1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_1147	0	3	0	0	0	0	0	0	0	0	0	1	0	1	5	6	3	2	2	0	0
OTU_1148	0	0	1	2	1	0	0	0	1	0	0	1	0	0	11	0	1	1	2	0	4
OTU_1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_115	6	4	3	5	0	1	0	0	0	0	0	0	0	0	1	21	15	40	10	3	0
OTU_1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
OTU_1151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0
OTU_1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
OTU_1154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0
OTU_1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1157	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	4	4	0
OTU_1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0
OTU_116	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	63	0	0
OTU_1160	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
OTU_1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_1164	0	3	0	0	0	0	1	0	0	0	0	0	0	0	6	2	5	3	4	4	0
OTU_1165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1166	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	3	0	0
OTU_1167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	2	1	1	0
OTU_1168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0
OTU_1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0
OTU_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	18	0	0
OTU_1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0
OTU_1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	2	0	0
OTU_1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0
OTU_1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	0	1	0	0
OTU_1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_118	0	0	12	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
OTU_1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0
OTU_1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	1	0	0
OTU_1184	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	2	6	1	1	0	0
OTU_1185	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0
