dataset;X.OTU.ID;GW1941;GW1942;GW1943;GW1944;GW1945;GW1946;GW1947;GW1948;GW1949;GW1950;GW1951;GW1952;GW1953;GW1954;GW1955;GW1956;GW1957;GW1958;GW1959;GW1960;GW1961;GW1962;GW1963;GW1964;GW1965;GW1966;GW1967;GW1968;GW1969;GW1970;GW1971;GW1972;GW1973;GW1974;GW1975;GW1976;GW1977;GW1978;GW1979;GW1980;GW1981;GW1982;GW1983;GW1984
16s;OTU_207;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_208;1;1;0;0;1;0;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;19;12;2;4;0;5;2;0;1;2;4;4;7;0;0;1;0
16s;OTU_209;2;11;0;2;0;0;0;6;4;19;3;2;0;0;0;0;0;0;0;1;1;1;0;19;0;1;1;6;0;3;3;0;9;8;0;1;0;0;4;0;0;0;3;0
16s;OTU_210;2;6;2;0;0;1;2;1;26;46;4;0;0;0;0;0;0;0;0;3;1;1;4;20;5;4;9;1;5;3;6;3;5;10;8;6;1;1;2;0;2;0;9;0
16s;OTU_211;3;0;0;5;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
16s;OTU_212;7;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_213;2;1;0;0;0;1;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
16s;OTU_214;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_215;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;5;2;42;24;18;4;11;2;4;9;17;12;3;2;15;0;7;0;0;0
16s;OTU_216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;17;10;3;28;1;2;0;20;1;5;9;31;17;13;6;41;0;1;0;0;0
16s;OTU_217;5;23;0;2;2;0;5;14;5;10;8;2;0;1;0;0;0;0;0;0;0;0;2;28;4;2;22;9;7;5;5;1;14;6;3;2;0;8;7;0;2;0;0;0
16s;OTU_218;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;24;7;7;7;67;28;6;2;0;9;11;4;5;2;5;11;0;8;0;0;0
