sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_1152;Unclassified;;;;;;
OTU_1153;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Litoricolaceae;Litoricola;
OTU_1154;Unclassified;;;;;;
OTU_1155;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_1156;Unclassified;;;;;;
OTU_1157;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
OTU_1158;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_1159;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_1160;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_1161;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_1162;Unclassified;;;;;;
OTU_1163;Bacteria;Planctomycetota;vadinHA49;;;;
OTU_1164;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;;
OTU_1165;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;SEEP-SRB1;
OTU_1166;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus;Megaira
OTU_1167;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
OTU_1168;Unclassified;;;;;;
OTU_1169;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
OTU_1170;Unclassified;;;;;;
OTU_1171;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;;
OTU_1172;Unclassified;;;;;;
OTU_1173;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_1174;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured;
OTU_1175;Bacteria;Planctomycetota;028H05-P-BN-P5;;;;
OTU_1176;Unclassified;;;;;;
OTU_1177;Unclassified;;;;;;
OTU_1178;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
OTU_1179;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Hydrogenophilus;
OTU_1180;Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;;
OTU_1181;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus;
OTU_1182;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;
OTU_1183;Bacteria;Planctomycetota;Pla4 lineage;;;;
OTU_1184;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_1185;Unclassified;;;;;;
OTU_1186;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_1187;Unclassified;;;;;;
OTU_1188;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
OTU_1189;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
OTU_1190;Bacteria;Planctomycetota;OM190;;;;
