sequence_identifier;Domain;Phylum;Class;Order;Family;Genus
OTU_1505;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;
OTU_1506;Unclassified;;;;;
OTU_1507;Unclassified;;;;;
OTU_1508;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1509;Unclassified;;;;;
OTU_1510;Unclassified;;;;;
OTU_1511;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured
OTU_1512;Unclassified;;;;;
OTU_1513;Unclassified;;;;;
OTU_1514;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;
OTU_1515;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia
OTU_1516;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;
OTU_1517;Unclassified;;;;;
OTU_1518;Unclassified;;;;;
OTU_1519;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1520;Bacteria;Acidobacteriota;Subgroup 22;;;
OTU_1521;Unclassified;;;;;
OTU_1522;Unclassified;;;;;
OTU_1523;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;uncultured
OTU_1524;Bacteria;Proteobacteria;Gammaproteobacteria;Milano-WF1B-44;;
OTU_1525;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella
OTU_1526;Unclassified;;;;;
OTU_1527;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;
OTU_1528;Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;;
OTU_1529;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42
OTU_1530;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1531;Unclassified;;;;;
OTU_1532;Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Arctic95B-14;
OTU_1533;Unclassified;;;;;
OTU_1534;Bacteria;NB1-j;;;;
OTU_1535;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured
OTU_1536;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;uncultured
OTU_1537;Bacteria;;;;;
